SERPINB6
TADA2L
PCGF2
HDGFRP3
PARP3
NRP2
HDLBP
RPS9
TSEN34
TFPT
CLN5
CES2
ELOF1
PSMA2
TCEB3
SLC22A18
hCG_1999928
BAT3
MSH5
ATP11C
ENAH
MCPH1
NOSIP
CSRP2BP
IGLV3-25
EPPK1
PECAM1
MRPS21
BAHCC1
PDE4DIP
NBPF10
PEX12
SYNM
ZNF100
BCL2L12
ZNF43
TXNRD1
ZNF628
CPB2
ZNF221
GPX4
DCAF13
C12orf45
HMOX2
HAND2
SLC1A3
COL1A2
GNAO1
PTPDC1
CYP2A6
GIMAP1-GIMAP5
SDK1
GPX2
POLR3G
NBL1
GBA3
ZNF714
MAGT1
CTNNBL1
ZNF787
GAGE4
FGF2
ERCC5
PLK2
RYK
HNRNPDL
DAK
PSMB3
SYNJ2BP-COX16
ZNF446
GPX1
MYC
IGHD
ZFP36L2

ARL15
NOTCH2
IGHG1
SELT
LENG9
ARNT2
CHD1
ITSN2
RASIP1
ZNF700
TMC4
CLTC
AOAH
BCL9
RAPGEFL1
DIO1
MLLT6
EPT1
PSMD1
ARHGAP21
IGHV3-72
TBX3
SYN2
TNXB
TAGLN3
SELM
SLC4A1AP
RPL17
GLTSCR1
C10orf11
CACNA1C
IQSEC1
C19orf68
PRODH
RBM15
RSBN1
C7orf49
JPH4
NRN1
TSPAN10
CTDSP2
BCL10
KLF16
RIN3
PRDM11
SEPW1
IQCE
PEG10
KIF3C
RPGRIP1L
ZNF714
SLC16A6
NDUFA10
SLC9A7
MSRB1
RAB44
PEG10
GPR155
ABCA2
POLQ
IGHG3
RPL17
MTSS1L
STARD10
ZNF33B
ZNF761
THSD7A
ZIC2
NEK3
PCSK6
JAGN1
SLC6A6
TMEM106C
ZNF302
FAM21A
APOOL
MAPK8IP3
KCNN3
WNK3
SEZ6L2
TTC25
SRRD
IGLL5
SYNJ2BP-COX16
SAMD11
ZNF852
CGA
SETDB2
RAVER1
UPF3A

ANK3
FAM69A
TMEM120A
TYW1B
HNF1B
HMGN3
ZNF689
IDH3B
DACH1
KCNH7
ZNF343
CADM1
METTL7B
COL4A6
ABO
KIF3A
NEK3
CAPRIN1
SNAP47
CAPN5
CTSH
RIBC2
MAML2
TSC22D1
RBM26
COPE
ASPH
COL15A1
TJP1
SLC4A1AP
FAM13C
CHL1
NOL4L
SELO
KDM6A
GLMP
ACOT2
NOMO1
UNC5C
SSBP2
SRCIN1
FAM49B
BIN2
SEC22B
Sep-15
ARMC9
C16orf72
GPX3
NEB
SOCS7
HUWE1
ACAN
EPPK1
TUBGCP5
PSME2
KIAA1524
HOXD9
SGSM1
ZNF615
KIAA1033
IFIT2
MRPL45
ZSCAN26
HECTD1
PSMC6
ZNF268
NCOR1
KIAA0825
WDR20
PRUNE2
DOCK1
ATRX
ATRX
ZNF638
SCARF2
AAK1
GPS1
AAK1
HMCN2
TRIM39-RPP21
ATRX
CD99
LINC00493
FAM21C
SAA2-SAA4
ATRX
ZNF638
C21orf33
ZNF638
ZNF180
MAP4K5
PHF20L1
CLASRP
WDR83OS
RBP1
SCLY
GALC
GPR161
MBNL1
PPM1K
PTPN9
ZNF33A
MYEF2
CYP4F12
FADS1
RBM10
MPPE1
EPB41L3
MADD
TCF3
KCNQ5
AKAP9
TEAD4
APP
C11orf80
KCNIP3
CDKN2A
GPALPP1
SNX6
ARV1
F5
MTX1
MYO6
ANKRD2
SMARCA1
SAMD8
TAF8
L3MBTL1
FSD1L
USP48
NFKBIL1
MPP2
RRBP1
RGL3
LILRB4
PGBD5
SFXN3
SLC10A3
CAMK2G
MYD88
PGAP2
NCKAP5
EIF4G3
TAF4B
ADCY3
SVEP1
PLEKHB2
BTBD19
WIPF3
CHD1L
PHC2
RASA2
GPSM1
ASPH
NELFE
ATP2C2
WWC3
SLAIN1
TAPBP
IQCA1
ZNF623
PTPRC
MARK3
LIPA
SLC45A1
IVD
WDR36
PRIMPOL
RNF213
STAU2
STAU2
LAMA4
BTAF1
SH2B2
ROR1
ZNF211
HNF1A
SKP2
FAM65A
PCDHB10
RGMA
IGKV2D-28
RNF213
TTN
TNN
CLEC11A
IREB2
ASB3
