Trib2
Mak
Gsk3b
Hunk
Mok
Rock2
Mapk1
Trib1
Csf1r
Gm49361
Lats2
Cdc42bpb
Prkdc
Ephb6
Nek9
Nuak1
Mark3
Grk1
Sbk1
Akt3
Vrk2
Ankk1
Pdpk1
Cdk7
Pbk
Lck
Sgk3
Pim3
Ltk
Slc12a7
Stk24
Ptk2b
Grk5
Wnk3
Blk
Axl
Cdk6
Dyrk2
Epha1
Pkn1
Srpk3
Frk
Lmtk2
Wnk2
Sik2
Adck1
Mtor
Cdk12
Alpk2
Mast4
Tssk3
Epha4
Trib3
Scyl1
Jak2
Obscn
Cdk14
Lrrk1
Igf1r
Cdk8
Trio
Plk2
Epha3
Fyn
Btk
Cdk17
Akt2
Nek4
Dyrk4
Ulk3
Mast1
Nrk
Fgfr4
Mylk4
Abl2
Cdk3
Serpina1f
Mylk2
Cdk4
Stk26
Cdk19
Ephb3
Coq8a
Fgr
Nek1
Riok1
Plk4
Hipk4
Mlkl
Ripk1
Peak1
Ikbkb
Fgfr3
Irak1
Met
Txk
Grk6
Tbk1
Ripk4
Ilk
Irak3
Mark2
Rnase2b
Ear14
Rnase2a
Mylk3
Chuk
Nek5
Epha6
Csk
Cdkl1
Cdc7
Stk10
Taok1
Stk31
Cdc42bpa
Hck
Tyro3
Irak4
Fer
Camkv
Ttk
Taok2
Atm
Tssk2
Ptk2
Ros1
Nek3
Chek1
Stk39
Erbb2
Mapk3
Alpk1
Dclk2
Tec
Stk38
Ttbk1
Itgal
Aurkb
Dclk1
Jak1
Zap70
Ptk6
Brsk1
Epha8
Sik3
Ret
Cdk10
Hipk1
Rock1
Scyl3
Dyrk3
Taok3
Lmtk3
Pak2
Erbb4
Ephb1
Cdkl2
Cdkl4
Plk5
Epha5
Pask
Tbck
Dclk3
Kit
Ptk7
Bmx
Dmpk
Riok2
Rora
Sbk3
Ddr1
Pkdcc
Clk3
Tssk6
Tie1
Adck5
Epha2
Ikbke
Cdk18
Epha7
Clk2
Fgfr2
Aak1
Mknk2
Srpk1
Lrrk2
Lyn
Musk
Nim1k
Tyk2
Mylk
Pim2
Aatk
Alpk3
Cdk16
Vrk3
Prag1
Nek8
Akt1
Mast2
Pxk
Mos
Ryk
Myo3b
Pdk3
Jak3
Tnik
Mark1
Ulk2
Wee1
Fgfr1
Gucy2c
Cdkl3
Cdk13
Fastk
Uhmk1
Ear6
Ear1
Ear10
Ear2
Plk3
Wnk1
Smg1
Ripk3
Stk25
Ulk1
Hipk2
Cdk20
Sbk2
Myo3a
Ttbk2
Riok3
Flt3
Tssk4
Prkx
Pink1
Dapk1
Dapk3
Lats1
Adck2
Gm42420
Styk1
Fes
Matk
Aurkc
Grk4
Ntrk3
Nek2
Map3k5
Gak
Sgk1
Pak3
Braf
Pkn3
Vrk1
Clk1
Nuak2
Clk4
Mark4
Slk
Srpk2
Stk40
Araf
Phkg2
Ksr1
Ntrk1
Itk
Tnk2
Sik1
Cdkl5
Nek10
Tlk1
Ddr2
Tesk2
Kalrn
Nrbp2
Trpm6
Stk33
Pkn2
Src
Tek
Pan3
Mknk1
Srms
Insrr
Dapk2
Stk11
Chek2
Cdk15
Wnk4
Alk
Ephb2
Nlk
Insr
Cdk5
Mast3
Ntrk2
Bmpr2
Wee2
Irak2
Nek11
Pim1
Ksr2
Oxsr1
Bub1
Acvr1
Tex14
Ripk2
Limk2
Egfr
Ern1
Snrk
Mertk
Tnk1
Bub1b
Nek6
Stk35
Bmp2k
Pdk4
Stk36
Limk1
Hipk3
Pak6
Mink1
Trpm7
Ulk4
Stk16
Speg
Ern2
Tlk2
Melk
Aurka
Nrbp1
Sgk2
Stk4
Ephb4
Brsk2
Pdk2
Abl1
Plk1
Phkg1
Tesk1
Cdk9
Gsk3a
Nek7
